범죄명,장소,발생건수
살인,"아파트, 연립 다세대",29
살인,단독주택,40
살인,노상,24
살인,상점,3
살인,"숙박업소, 목욕탕",3
살인,유흥 접객업소,8
살인,사무실,6
살인,"역, 대합실",1
살인,교통수단,1
살인,유원지 ,1
살인,학교,0
살인,금융기관,0
살인,기타,27
강도,"아파트, 연립 다세대",10
강도,단독주택,16
강도,노상,42
강도,상점,27
강도,"숙박업소, 목욕탕",10
강도,유흥 접객업소,4
강도,사무실,6
강도,"역, 대합실",1
강도,교통수단,1
강도,유원지 ,0
강도,학교,0
강도,금융기관,2
강도,기타,24
강간.추행,"아파트, 연립 다세대",441
강간.추행,단독주택,538
강간.추행,노상,978
강간.추행,상점,170
강간.추행,"숙박업소, 목욕탕",553
강간.추행,유흥 접객업소,851
강간.추행,사무실,114
강간.추행,"역, 대합실",280
강간.추행,교통수단,907
강간.추행,유원지 ,57
강간.추행,학교,60
강간.추행,금융기관,6
강간.추행,기타,1457
절도,"아파트, 연립 다세대",1907
절도,단독주택,2020
절도,노상,9087
절도,상점,6990
절도,"숙박업소, 목욕탕",1249
절도,유흥 접객업소,3231
절도,사무실,721
절도,"역, 대합실",531
절도,교통수단,1097
절도,유원지 ,613
절도,학교,296
절도,금융기관,1302
절도,기타,10131
폭력,"아파트, 연립 다세대",5295
폭력,단독주택,5536
폭력,노상,22241
폭력,상점,1445
폭력,"숙박업소, 목욕탕",595
폭력,유흥 접객업소,5262
폭력,사무실,1507
폭력,"역, 대합실",642
폭력,교통수단,1088
폭력,유원지 ,481
폭력,학교,278
폭력,금융기관,65
폭력,기타,11640
