범죄명,장소,발생건수
살인,"아파트, 연립 다세대",22
살인,단독주택,36
살인,노상,33
살인,상점,0
살인,"숙박업소, 목욕탕",8
살인,유흥 접객업소,6
살인,사무실,9
살인,"역, 대합실",0
살인,교통수단,1
살인,유원지 ,1
살인,학교,0
살인,금융기관,0
살인,기타,42
강도,"아파트, 연립 다세대",37
강도,단독주택,36
강도,노상,92
강도,상점,45
강도,"숙박업소, 목욕탕",10
강도,유흥 접객업소,17
강도,사무실,11
강도,"역, 대합실",2
강도,교통수단,1
강도,유원지 ,5
강도,학교,0
강도,금융기관,0
강도,기타,87
강간.추행,"아파트, 연립 다세대",296
강간.추행,단독주택,404
강간.추행,노상,1007
강간.추행,상점,102
강간.추행,"숙박업소, 목욕탕",471
강간.추행,유흥 접객업소,364
강간.추행,사무실,127
강간.추행,"역, 대합실",144
강간.추행,교통수단,694
강간.추행,유원지 ,48
강간.추행,학교,26
강간.추행,금융기관,1
강간.추행,기타,1778
절도,"아파트, 연립 다세대",2765
절도,단독주택,3655
절도,노상,11931
절도,상점,3988
절도,"숙박업소, 목욕탕",1506
절도,유흥 접객업소,2452
절도,사무실,1216
절도,"역, 대합실",401
절도,교통수단,936
절도,유원지 ,472
절도,학교,425
절도,금융기관,1482
절도,기타,28164
폭력,"아파트, 연립 다세대",2551
폭력,단독주택,3194
폭력,노상,26004
폭력,상점,933
폭력,"숙박업소, 목욕탕",325
폭력,유흥 접객업소,3154
폭력,사무실,1577
폭력,"역, 대합실",327
폭력,교통수단,447
폭력,유원지 ,531
폭력,학교,228
폭력,금융기관,47
폭력,기타,26000
