범죄명,장소,발생건수
살인,"아파트, 연립 다세대",20
살인,단독주택,39
살인,노상,37
살인,상점,1
살인,"숙박업소, 목욕탕",3
살인,유흥 접객업소,5
살인,사무실,3
살인,"역, 대합실",0
살인,교통수단,0
살인,유원지 ,4
살인,학교,1
살인,금융기관,0
살인,기타,50
강도,"아파트, 연립 다세대",20
강도,단독주택,23
강도,노상,70
강도,상점,34
강도,"숙박업소, 목욕탕",15
강도,유흥 접객업소,14
강도,사무실,8
강도,"역, 대합실",0
강도,교통수단,3
강도,유원지 ,1
강도,학교,0
강도,금융기관,3
강도,기타,85
강간.추행,"아파트, 연립 다세대",283
강간.추행,단독주택,346
강간.추행,노상,924
강간.추행,상점,73
강간.추행,"숙박업소, 목욕탕",395
강간.추행,유흥 접객업소,342
강간.추행,사무실,91
강간.추행,"역, 대합실",181
강간.추행,교통수단,812
강간.추행,유원지 ,51
강간.추행,학교,46
강간.추행,금융기관,1
강간.추행,기타,1904
절도,"아파트, 연립 다세대",1866
절도,단독주택,2498
절도,노상,11407
절도,상점,3903
절도,"숙박업소, 목욕탕",952
절도,유흥 접객업소,2204
절도,사무실,994
절도,"역, 대합실",407
절도,교통수단,1026
절도,유원지 ,424
절도,학교,397
절도,금융기관,1273
절도,기타,27956
폭력,"아파트, 연립 다세대",2850
폭력,단독주택,3502
폭력,노상,25110
폭력,상점,805
폭력,"숙박업소, 목욕탕",273
폭력,유흥 접객업소,2439
폭력,사무실,1362
폭력,"역, 대합실",255
폭력,교통수단,332
폭력,유원지 ,471
폭력,학교,196
폭력,금융기관,45
폭력,기타,27566
