범죄명,장소,발생건수
살인,"아파트, 연립 다세대",21
살인,단독주택,25
살인,노상,27
살인,상점,1
살인,"숙박업소, 목욕탕",5
살인,유흥 접객업소,10
살인,사무실,5
살인,"역, 대합실",0
살인,교통수단,1
살인,유원지 ,1
살인,학교,0
살인,금융기관,0
살인,기타,46
강도,"아파트, 연립 다세대",20
강도,단독주택,11
강도,노상,43
강도,상점,22
강도,"숙박업소, 목욕탕",8
강도,유흥 접객업소,5
강도,사무실,5
강도,"역, 대합실",1
강도,교통수단,0
강도,유원지 ,1
강도,학교,0
강도,금융기관,3
강도,기타,50
강간.추행,"아파트, 연립 다세대",319
강간.추행,단독주택,413
강간.추행,노상,1061
강간.추행,상점,116
강간.추행,"숙박업소, 목욕탕",408
강간.추행,유흥 접객업소,495
강간.추행,사무실,130
강간.추행,"역, 대합실",242
강간.추행,교통수단,1105
강간.추행,유원지 ,51
강간.추행,학교,49
강간.추행,금융기관,1
강간.추행,기타,2573
절도,"아파트, 연립 다세대",1209
절도,단독주택,1340
절도,노상,8255
절도,상점,4119
절도,"숙박업소, 목욕탕",670
절도,유흥 접객업소,1809
절도,사무실,564
절도,"역, 대합실",335
절도,교통수단,744
절도,유원지 ,282
절도,학교,247
절도,금융기관,990
절도,기타,20598
폭력,"아파트, 연립 다세대",2954
폭력,단독주택,3303
폭력,노상,22677
폭력,상점,789
폭력,"숙박업소, 목욕탕",346
폭력,유흥 접객업소,2758
폭력,사무실,1068
폭력,"역, 대합실",330
폭력,교통수단,509
폭력,유원지 ,419
폭력,학교,222
폭력,금융기관,30
폭력,기타,23994
